*N,acc_tree,groups
2,0.833333333333,B7Z6Z4_MYL6,P0C0L5_C4B
2,0.833333333333,CON__P02768_1_ALB,Q9NZL9_MAT2B
2,0.861111111111,P0C0L5_C4B,P00924_ENO1
2,0.833333333333,Q14697_2_GANAB,P00489_GPB
2,0.861111111111,Q14697_2_GANAB,P61586_RHOA
2,0.861111111111,P00330_ADH1,P00489_GPB
2,0.861111111111,P00738_HP,P61586_RHOA
2,0.833333333333,P00924_ENO1,P01023_A2M
2,0.833333333333,P00924_ENO1,P14174_MIF
2,0.916666666667,P01023_A2M,P01036_CST4
2,0.833333333333,P01023_A2M,P14174_MIF
2,0.944444444444,P01023_A2M,P62937_PPIA
