*N,acc_tree,groups
2,0.888888888889,A0A087WX49_IGLL5,P01023_A2M
2,0.833333333333,A0A087WZW8,P01023_A2M
2,0.861111111111,B7Z6Z4_MYL6,CON__P13645_KRT10
2,0.833333333333,B7Z6Z4_MYL6,P0C0L5_C4B
2,0.888888888889,B7Z6Z4_MYL6,P00338_3_LDHA
2,0.833333333333,B7Z6Z4_MYL6,P14174_MIF
2,0.833333333333,O15145_ARPC3,P52209_PGD
2,0.916666666667,CON__P02768_1_ALB,P61586_RHOA
2,0.888888888889,CON__P13645_KRT10,P01023_A2M
2,0.944444444444,CON__P13645_KRT10,P07900_2_HSP90AA1
2,0.833333333333,CON__P13645_KRT10,P59998_3_ARPC4
2,0.833333333333,CON__P13646_1,P00738_HP
2,0.944444444444,P55786_NPEPPS,P01023_A2M
2,0.833333333333,P0C0L5_C4B,Q14697_2_GANAB
2,0.833333333333,P0C0L5_C4B,Q9NZL9_MAT2B
2,0.944444444444,P0C0L5_C4B,P00924_ENO1
2,0.944444444444,P0C0L5_C4B,P01023_A2M
2,0.888888888889,P0C0L5_C4B,P07900_2_HSP90AA1
2,0.833333333333,P0C0L5_C4B,P61158_ACTR3
2,0.833333333333,Q14697_2_GANAB,P04264_KRT1
2,0.833333333333,Q14697_2_GANAB,P52907_CAPZA1
2,0.861111111111,P00330_ADH1,P01023_A2M
2,0.833333333333,P00338_3_LDHA,P00924_ENO1
2,0.888888888889,P00338_3_LDHA,P01023_A2M
2,0.861111111111,P00738_HP,P61586_RHOA
2,0.833333333333,P00738_HP,P62937_PPIA
2,0.833333333333,P00924_ENO1,P01023_A2M
2,0.833333333333,P00924_ENO1,P14174_MIF
2,0.888888888889,P01023_A2M,P02814_SMR3B
2,0.888888888889,P01023_A2M,P08603_CFH
2,0.944444444444,P01023_A2M,P14174_MIF
2,0.888888888889,P01023_A2M,P52209_PGD
2,0.888888888889,P01023_A2M,P52907_CAPZA1
2,0.833333333333,P01023_A2M,P61586_RHOA
2,0.944444444444,P01023_A2M,P62937_PPIA
2,0.888888888889,P01023_A2M,P78417_GSTO1
2,0.833333333333,P01717,P01859_IGHG2
2,0.916666666667,P01859_IGHG2,P61586_RHOA
2,0.833333333333,P04080_CSTB,P07900_2_HSP90AA1
2,0.833333333333,P04264_KRT1,P07900_2_HSP90AA1
2,0.833333333333,P07900_2_HSP90AA1,P08603_CFH
2,0.833333333333,P07900_2_HSP90AA1,P10412_HIST1H1E
2,0.833333333333,P07900_2_HSP90AA1,P14174_MIF
2,0.833333333333,P07900_2_HSP90AA1,P16402_HIST1H1D
2,0.888888888889,P07900_2_HSP90AA1,P17174_GOT1
2,0.833333333333,P07900_2_HSP90AA1,P36952_SERPINB5
2,0.833333333333,P07900_2_HSP90AA1,P52566_ARHGDIB
2,0.833333333333,P07900_2_HSP90AA1,P59665_DEFA1
2,0.833333333333,P07900_2_HSP90AA1,Q9NQ38_3_SPINK5
2,0.861111111111,P35579_MYH9,P61586_RHOA
